Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,TODAY,"TODAY
CHNG","SERIES
CHNG",,28 Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,SERIES,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
,FMCG,PGEL,585,NSE:PGEL,625,-1.1,6.7,,9.5,4.6,5.1,,5.6,5.3,3.5,4.1,7.8,,,,,,,,,,,,,,,PGEL,,
,AUTO,FORCEMOT,17185,NSE:FORCEMOT,18593,0.4,8.2,,-7.6,0.9,2.5,,7.2,6.7,7.9,8.8,7.7,,,,,,,,,,,,,,,FORCEMOT,,
2,GOODS,SIEMENS,3684,NSE:SIEMENS,3981,0.9,8.0,,2.3,-0.9,-0.5,,6.0,8.6,7.7,7.4,6.9,,,,,,,,,,,,,,,SIEMENS,,
1,METAL,VEDL,260,NSE:VEDL,284,1.9,9.5,,-7.7,2.3,2.7,,2.0,3.6,6.4,5.9,6.8,,,,,,,,,,,,,,,VEDL,,
2,DEFENCE,HAL,4595,NSE:HAL,4924,0.3,7.2,,5.0,-0.3,-0.1,,1.3,0.9,0.9,7.4,6.8,,,,,,,,,,,,,,,HAL,,
1,AUTO,M&M,3280,NSE:M&M,3517,0.5,7.2,,6.6,-1.6,0.4,,3.5,4.0,5.5,4.1,6.8,,,,,,,,,,,,,,,M&M,,
2,BFSI,SHRIRAMFIN,1045,NSE:SHRIRAMFIN,1123,0.7,7.4,,-0.1,-0.1,-1.5,,3.3,3.4,6.9,9.0,6.7,,,,,,,,,,,,,,,SHRIRAMFIN,,
2,CEMENT,GRASIM,3116,NSE:GRASIM,3362,1.5,7.9,,0.4,-0.1,-0.5,,1.8,0.2,3.2,3.1,6.7,,,,,,,,,,,,,,,GRASIM,,
2,AUTO,TMPV,325,NSE:TMPV,349,0.6,7.5,,-7.7,1.6,3.2,,6.9,6.3,6.9,5.8,6.6,,,,,,,,,,,,,,,TMPV,,
,BFSI,PNBHOUSING,1073,NSE:PNBHOUSING,1163,1.5,8.4,,2.9,-1.2,-3.7,,0.8,0.7,4.5,7.2,6.5,,,,,,,,,,,,,,,PNBHOUSING,,
3,BFSI,IIFL,581,NSE:IIFL,621,1.5,6.8,,14.9,1.8,4.6,,6.4,4.2,4.7,5.0,6.5,,,,,,,,,,,,,,,IIFL,,
,PHARMA,AUROPHARMA,1557,NSE:AUROPHARMA,1658,0.1,6.5,,-1.1,1.9,1.3,,-0.8,1.6,#N/A,1.9,6.5,,,,,,,,,,,,,#N/A,,AUROPHARMA,,
,REALITY,APLAPOLLO,1848,NSE:APLAPOLLO,1977,0.4,7.0,,3.1,1.2,2.5,,5.4,4.5,6.1,5.9,6.5,,,,,,,,,,,,,,,APLAPOLLO,,
,BFSI,RBLBANK,364,NSE:RBLBANK,389,-0.1,6.8,,-1.3,1.7,3.7,,4.0,4.6,7.0,6.7,6.4,,,,,,,,,,,,,,,RBLBANK,,
1,IT,INFY,1105,NSE:INFY,1190,1.2,7.6,,9.8,4.4,4.5,,5.9,4.8,#N/A,5.5,6.3,,,,,,,,,,,,,#N/A,,INFY,,
,BFSI,INDIANB,835,NSE:INDIANB,890,0.0,6.6,,2.1,-1.1,-1.0,,0.6,0.9,1.4,5.1,6.1,,,,,,,,,,,,,,,INDIANB,,
,METAL,SAIL,166,NSE:SAIL,179,1.0,7.8,,-4.3,3.2,1.8,,2.7,4.6,5.9,6.7,6.0,,,,,,,,,,,,,,,SAIL,,
,BFSI,CHOLAFIN,1765,NSE:CHOLAFIN,1891,1.3,7.1,,-1.8,1.9,0.6,,6.0,5.8,6.5,9.9,6.0,,,,,,,,,,,,,,,CHOLAFIN,,
,BFSI,BANKINDIA,136,NSE:BANKINDIA,143,-1.6,4.7,,-3.2,1.0,0.8,,2.2,2.4,3.3,4.7,5.9,,,,,,,,,,,,,,,BANKINDIA,,
2,IT,COFORGE,1684,NSE:COFORGE,1810,1.9,7.5,,14.5,1.4,3.8,,4.9,3.0,4.7,5.6,5.7,,,,,,,,,,,,,,,COFORGE,,
,PHARMA,LAURUSLABS,1754,NSE:LAURUSLABS,1861,0.9,6.1,,15.5,1.4,1.6,,3.3,4.9,5.1,4.5,5.7,,,,,,,,,,,,,,,LAURUSLABS,,
2,IT,TATAELXSI,3577,NSE:TATAELXSI,3845,1.7,7.5,,-6.5,2.7,2.2,,5.2,4.5,4.8,4.1,5.7,,,,,,,,,,,,,,,TATAELXSI,,
1,BFSI,CANBK,125,NSE:CANBK,131,-0.7,5.1,,-1.1,0.0,0.0,,2.0,2.6,#N/A,5.7,5.7,,,,,,,,,,,,,#N/A,,CANBK,,
1,GENERAL,LT,3830,NSE:LT,4057,0.0,5.9,,-7.6,2.5,2.9,,4.4,4.5,#N/A,6.1,5.5,,,,,,,,,,,,,#N/A,,LT,,
,GOODS,ABB,7202,NSE:ABB,7572,-0.2,5.1,,2.5,1.6,1.2,,6.3,7.8,7.2,7.4,5.5,,,,,,,,,,,,,,,ABB,,
,GENERAL,RVNL,221,NSE:RVNL,232,-0.8,4.6,,-6.2,1.4,0.7,,5.2,4.5,3.3,6.2,5.4,,,,,,,,,,,,,,,RVNL,,
,POWER,POWERINDIA,31125,NSE:POWERINDIA,35705,9.8,14.7,,-11.1,1.5,0.7,,2.7,3.3,3.9,2.7,4.7,,,,,,,,,,,,,,,POWERINDIA,,
,METAL,JINDALSTEL,1054,NSE:JINDALSTEL,1115,1.1,5.8,,-0.6,3.4,3.9,,5.6,5.8,5.8,4.3,4.7,,,,,,,,,,,,,,,JINDALSTEL,,
,PHARMA,GLENMARK,2183,NSE:GLENMARK,2271,-0.3,4.1,,-1.1,3.8,1.1,,1.5,1.6,3.5,3.3,4.7,,,,,,,,,,,,,,,GLENMARK,,
,GOODS,HAVELLS,1228,NSE:HAVELLS,1281,-0.3,4.3,,6.1,0.9,2.8,,4.6,4.7,4.9,4.7,4.7,,,,,,,,,,,,,,,HAVELLS,,
,BFSI,BAJAJHLDNG,10780,NSE:BAJAJHLDNG,11407,1.3,5.8,,1.4,1.5,1.3,,6.0,5.4,6.6,5.9,4.7,,,,,,,,,,,,,,,BAJAJHLDNG,,
2,DEFENCE,BHARATFORG,2168,NSE:BHARATFORG,2284,0.9,5.3,,0.9,-0.3,-0.1,,1.5,0.5,1.5,1.9,4.6,,,,,,,,,,,,,,,BHARATFORG,,
1,BFSI,BANKBARODA,239,NSE:BANKBARODA,250,-0.2,4.6,,-12.5,1.7,1.1,,3.1,2.9,2.8,4.5,4.5,,,,,,,,,,,,,,,BANKBARODA,,
0,GENERAL,RELIANCE,1272,NSE:RELIANCE,1331,-0.5,4.6,,-1.8,0.4,1.4,,2.9,1.5,0.7,3.9,4.5,,,,,,,,,,,,,,,RELIANCE,,
,IT,OFSS,11320,NSE:OFSS,11754,-0.6,3.8,,5.5,0.7,-1.4,,1.1,2.3,3.7,3.4,4.3,,,,,,,,,,,,,,,OFSS,,
,POWER,CGPOWER,844,NSE:CGPOWER,875,-0.5,3.6,,-11.2,-1.7,-1.3,,0.9,4.4,4.5,3.8,4.3,,,,,,,,,,,,,,,CGPOWER,,
