Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,TODAY,"TODAY
CHNG","SERIES
CHNG",,28 Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,SERIES,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
2,CEMENT,ULTRACEMCO,11979,NSE:ULTRACEMCO,12049,-0.3,0.6,,6.2,0.1,-1.1,,0.2,0.0,1.8,1.0,0.5,,,,,,,,,,,,,,,ULTRACEMCO,,
2,BFSI,FEDERALBNK,357,NSE:FEDERALBNK,355,-0.3,-0.4,,8.4,0.8,-0.7,,1.3,0.6,-0.2,-1.3,0.4,,,,,,,,,,,,,,,FEDERALBNK,,
3,FMCG,BRITANNIA,5485,NSE:BRITANNIA,5553,0.8,1.2,,6.4,0.9,0.8,,-0.1,-0.9,-0.8,-1.2,0.4,,,,,,,,,,,,,,,BRITANNIA,,
,POWER,NTPC,343,NSE:NTPC,341,-0.5,-0.7,,-4.1,0.1,0.6,,1.3,-0.3,#N/A,0.5,0.3,,,,,,,,,,,,,#N/A,,NTPC,,
5,POWER,ADANIPOWER,208,NSE:ADANIPOWER,209,0.0,0.2,,-7.0,0.4,0.3,,1.4,0.7,-0.5,0.0,0.3,,,,,,,,,,,,,,,ADANIPOWER,,
,WIND POWER,SUZLON,48,NSE:SUZLON,48,-0.6,-0.3,,-18.5,-1.0,-1.2,,1.6,0.0,#N/A,0.3,0.3,,,,,,,,,,,,,#N/A,,SUZLON,,
3,FMCG,UNITDSPR,1511,NSE:UNITDSPR,1530,1.2,1.3,,11.5,-0.5,1.4,,0.8,0.9,0.9,0.7,0.1,,,,,,,,,,,,,,,UNITDSPR,,
,GOODS,DELHIVERY,472,NSE:DELHIVERY,476,0.9,0.8,,0.4,-0.6,-0.6,,0.5,0.2,#N/A,-1.7,0.1,,,,,,,,,,,,,#N/A,,DELHIVERY,,
2,GENERAL,ADANIENT,3003,NSE:ADANIENT,2999,-0.8,-0.1,,-1.2,0.7,1.6,,1.9,0.7,1.4,0.8,0.1,,,,,,,,,,,,,,,ADANIENT,,
1,FMCG,ITC,285,NSE:ITC,284,-0.8,-0.3,,-0.8,0.4,0.2,,0.5,0.5,0.7,0.0,0.0,,,,,,,,,,,,,,,ITC,,
2,PHARMA,APOLLOHOSP,8935,NSE:APOLLOHOSP,8894,-0.6,-0.5,,3.1,-0.4,0.3,,-1.3,-0.6,-0.4,0.2,-0.1,,,,,,,,,,,,,,,APOLLOHOSP,,
,BFSI,MFSL,1512,NSE:MFSL,1491,-0.7,-1.4,,-4.7,0.6,0.0,,1.5,-0.3,0.7,0.6,-0.1,,,,,,,,,,,,,,,MFSL,,
3,BFSI,BSE,3463,NSE:BSE,3505,1.5,1.2,,-10.5,2.2,2.0,,3.2,3.9,1.4,-0.8,-0.2,,,,,,,,,,,,,,,BSE,,
2,POWER,PFC,420,NSE:PFC,397,-5.5,-5.5,,-1.2,1.6,1.7,,-0.5,-0.2,-0.7,-1.2,-0.2,,,,,,,,,,,,,,,PFC,,
2,OIL,PETRONET,279,NSE:PETRONET,278,-1.0,-0.2,,-0.8,-0.4,0.1,,1.3,0.4,1.1,-0.3,-0.3,,,,,,,,,,,,,,,PETRONET,,
,BFSI,IREDA,120,NSE:IREDA,119,-0.3,-0.6,,-6.7,0.6,-0.2,,2.4,0.2,0.6,1.0,-0.3,,,,,,,,,,,,,,,IREDA,,
3,HOTEL,INDHOTEL,737,NSE:INDHOTEL,728,-0.4,-1.2,,2.9,0.3,1.6,,1.3,1.2,-0.3,-0.4,-0.3,,,,,,,,,,,,,,,INDHOTEL,,
2,OIL REFI,BPCL,320,NSE:BPCL,318,-1.0,-0.7,,5.2,-0.9,-1.2,,2.0,0.7,1.7,1.5,-0.4,,,,,,,,,,,,,,,BPCL,,
3,GENERAL,NAUKRI,1234,NSE:NAUKRI,1265,3.3,2.5,,25.9,1.2,0.9,,2.4,2.1,-0.2,-0.2,-0.4,,,,,,,,,,,,,,,NAUKRI,,
,PHARMA,ALKEM,5658,NSE:ALKEM,5604,-0.2,-0.9,,1.0,0.4,2.8,,0.3,0.1,#N/A,-1.0,-0.4,,,,,,,,,,,,,#N/A,,ALKEM,,
3,FMCG,TATACONSUM,1087,NSE:TATACONSUM,1090,0.8,0.3,,1.3,0.5,0.7,,1.2,-0.2,0.1,0.1,-0.5,,,,,,,,,,,,,,,TATACONSUM,,
2,POWER,CUMMINSIND,5453,NSE:CUMMINSIND,5422,-0.1,-0.6,,-4.2,-1.4,-0.9,,0.9,0.9,-0.9,-0.9,-0.5,,,,,,,,,,,,,,,CUMMINSIND,,
,BFSI,YESBANK,23,NSE:YESBANK,23,-0.3,-0.7,,-5.9,0.1,-1.2,,0.0,0.2,0.4,-0.2,-0.5,,,,,,,,,,,,,,,YESBANK,,
3,GOODS,BHEL,406,NSE:BHEL,404,0.0,-0.3,,-3.0,-0.3,-0.3,,0.4,0.4,1.2,0.6,-0.5,,,,,,,,,,,,,,,BHEL,,
2,BFSI,RECLTD,369,NSE:RECLTD,354,-3.6,-4.1,,1.5,1.6,1.8,,-0.1,-0.1,-0.8,-1.4,-0.6,,,,,,,,,,,,,,,RECLTD,,
1,BFSI,HDFCBANK,737,NSE:HDFCBANK,734,0.6,-0.4,,-8.0,1.6,2.3,,2.0,0.3,-0.3,-0.4,-0.6,,,,,,,,,,,,,,,HDFCBANK,,
1,OIL EXPL,ONGC,239,NSE:ONGC,239,0.1,0.1,,1.5,-0.3,1.1,,0.9,1.3,0.3,-0.7,-0.6,,,,,,,,,,,,,,,ONGC,,
3,JEWEL,KALYANKJIL,608,NSE:KALYANKJIL,616,1.5,1.3,,57.1,3.7,3.9,,0.0,-2.8,-6.4,-1.7,-0.6,,,,,,,,,,,,,,,KALYANKJIL,,
2,REALITY,ASIANPAINT,2739,NSE:ASIANPAINT,2723,-0.4,-0.6,,3.8,0.8,0.4,,1.3,0.3,0.7,0.6,-0.7,,,,,,,,,,,,,,,ASIANPAINT,,
,POWER,ADANIGREEN,1377,NSE:ADANIGREEN,1365,-0.4,-0.8,,-7.7,-0.3,-1.4,,1.3,0.5,0.2,-0.4,-0.7,,,,,,,,,,,,,,,ADANIGREEN,,
5,FMCG,VMM,109,NSE:VMM,108,-0.3,-1.0,,-7.6,-1.0,-1.4,,1.3,1.7,1.5,0.6,-0.8,,,,,,,,,,,,,,,VMM,,
3,CHEMICAL,SRF,2641,NSE:SRF,2600,-0.6,-1.5,,-3.7,0.1,-1.3,,-0.1,-0.9,0.1,-0.7,-0.9,,,,,,,,,,,,,,,SRF,,
2,PHARMA,LUPIN,2397,NSE:LUPIN,2281,-3.6,-4.8,,-0.9,2.4,0.9,,-1.0,-0.8,-0.6,-0.4,-1.1,,,,,,,,,,,,,,,LUPIN,,
3,GENERAL,GMRAIRPORT,108,NSE:GMRAIRPORT,107,-0.4,-0.9,,-4.2,-0.6,-3.4,,-1.9,-1.8,-1.1,-1.8,-1.1,,,,,,,,,,,,,,,GMRINFRA,,
3,BFSI,IDFCFIRSTB,86,NSE:IDFCFIRSTB,85,0.3,-1.2,,8.3,-1.0,-1.4,,-1.4,-0.4,-0.9,-1.3,-1.2,,,,,,,,,,,,,,,IDFCFIRSTB,,
,BFSI,CDSL,1348,NSE:CDSL,1330,0.2,-1.3,,3.4,0.1,-0.8,,-1.9,-0.6,-1.3,-1.4,-1.3,,,,,,,,,,,,,,,CDSL,,
,POWER,ADANIENSOL,1642,NSE:ADANIENSOL,1620,-0.7,-1.4,,10.0,1.3,0.6,,0.3,0.1,-0.6,-2.1,-1.4,,,,,,,,,,,,,,,ADANIENSOL,,
,FMCG,PAGEIND,40450,NSE:PAGEIND,39260,-1.6,-2.9,,-2.5,-0.2,1.9,,-0.8,-1.5,-1.3,-1.4,-1.4,,,,,,,,,,,,,,,PAGEIND,,
2,PHARMA,SUNPHARMA,1976,NSE:SUNPHARMA,1949,0.3,-1.4,,5.8,0.6,1.5,,-1.6,-0.9,-1.6,-1.4,-1.5,,,,,,,,,,,,,,,SUNPHARMA,,
3,BFSI,SBILIFE,1889,NSE:SBILIFE,1850,-0.3,-2.1,,6.3,0.4,-1.1,,1.4,-0.9,-0.6,-1.2,-1.5,,,,,,,,,,,,,,,SBILIFE,,
,COMN,IDEA,13,NSE:IDEA,13,1.2,-0.5,,-10.4,1.0,-0.5,,-0.6,-1.1,-0.8,-2.2,-1.5,,,,,,,,,,,,,,,IDEA,,
,BFSI,ICICIPRULI,510,NSE:ICICIPRULI,496,-0.9,-2.7,,3.9,0.5,0.3,,1.8,-0.3,0.8,-0.6,-1.6,,,,,,,,,,,,,,,ICICIPRULI,,
2,REALITY,ASTRAL,1466,NSE:ASTRAL,1440,-0.3,-1.8,,10.1,0.6,0.3,,-1.1,-1.7,-1.8,-1.6,-1.6,,,,,,,,,,,,,,,ASTRAL,,
,FMCG,GODREJCP,1067,NSE:GODREJCP,1023,-2.6,-4.1,,5.0,1.2,0.5,,0.8,-0.3,0.5,1.2,-1.6,,,,,,,,,,,,,,,GODREJCP,,
,POWER,NHPC,78,NSE:NHPC,77,0.6,-1.1,,-3.9,-0.4,-0.1,,2.1,2.8,0.0,-0.9,-1.6,,,,,,,,,,,,,,,NHPC,,
3,PHARMA,BIOCON,434,NSE:BIOCON,425,-0.3,-2.1,,3.8,-0.6,-1.8,,-1.5,-1.9,-1.9,0.7,-1.6,,,,,,,,,,,,,,,BIOCON,,
2,OIL REFI,HINDPETRO,400,NSE:HINDPETRO,394,0.0,-1.6,,1.5,-1.8,-2.9,,-1.8,-2.0,-1.4,-1.0,-1.7,,,,,,,,,,,,,,,HINDPETRO,,
3,BFSI,LTF,312,NSE:LTF,314,2.0,0.6,,0.8,-0.9,-2.1,,1.8,2.1,#N/A,1.6,-1.7,,,,,,,,,,,,,#N/A,,LTF,,
,AUTO,TIINDIA,2820,NSE:TIINDIA,2797,1.0,-0.8,,-6.7,-1.1,-4.5,,-3.0,-2.9,-1.7,-2.0,-1.8,,,,,,,,,,,,,,,TIINDIA,,
2,POWER,GAIL,175,NSE:GAIL,172,-0.9,-1.9,,1.6,-0.1,-0.9,,-0.7,0.2,-0.1,0.3,-1.8,,,,,,,,,,,,,,,GAIL,,
,OIL EXPL,OIL,447,NSE:OIL,453,2.6,1.4,,6.9,0.1,2.3,,0.9,0.2,-0.6,-0.4,-1.8,,,,,,,,,,,,,,,OIL,,
,BFSI,CAMS,801,NSE:CAMS,793,0.8,-1.0,,0.4,-1.0,-0.9,,-0.5,1.1,1.4,-0.1,-2.0,,,,,,,,,,,,,,,CAMS,,
2,GOODS,VOLTAS,1313,NSE:VOLTAS,1276,-0.6,-2.8,,2.5,0.3,1.9,,1.0,0.2,-0.5,-2.8,-2.3,,,,,,,,,,,,,,,VOLTAS,,
2,CEMENT,SHREECEM,26700,NSE:SHREECEM,26295,1.1,-1.5,,5.4,0.2,-0.7,,0.4,0.9,0.3,-1.1,-2.3,,,,,,,,,,,,,,,SHREECEM,,
2,FMCG,MARICO,885,NSE:MARICO,855,-0.8,-3.4,,5.6,-0.7,0.2,,-1.1,-1.9,-3.4,-2.6,-2.8,,,,,,,,,,,,,,,MARICO,,
,REALITY,OBEROIRLTY,1830,NSE:OBEROIRLTY,1789,0.2,-2.3,,3.6,0.4,-0.8,,0.1,-2.3,-0.9,-2.9,-3.0,,,,,,,,,,,,,,,OBEROIRLTY,,
2,REALITY,DLF,664,NSE:DLF,659,2.2,-0.7,,7.0,1.0,-1.2,,-0.2,-2.6,-1.7,-3.2,-3.1,,,,,,,,,,,,,,,DLF,,
2,BFSI,MCX,2725,NSE:MCX,2659,0.8,-2.4,,-4.1,-0.3,-1.6,,-3.3,-2.1,-4.6,-3.4,-3.2,,,,,,,,,,,,,,,MCX,,
,PHARMA,MAXHEALTH,1104,NSE:MAXHEALTH,1071,0.1,-2.9,,-2.2,0.8,1.8,,-1.2,-3.4,-2.6,-3.3,-3.2,,,,,,,,,,,,,,,MAXHEALTH,,
,POWER,CONCOR,524,NSE:CONCOR,504,-0.2,-3.8,,9.8,0.4,0.4,,0.0,-1.7,#N/A,-2.4,-3.2,,,,,,,,,,,,,#N/A,,CONCOR,,
3,FMCG,DABUR,426,NSE:DABUR,412,0.6,-3.3,,0.9,2.0,0.3,,-0.4,-4.3,-3.0,-2.9,-3.3,,,,,,,,,,,,,,,DABUR,,
,BFSI,KFINTECH,969,NSE:KFINTECH,925,-1.0,-4.5,,10.0,-2.2,-3.0,,-2.5,-2.3,-2.1,-4.2,-3.4,,,,,,,,,,,,,,,KFINTECH,,
3,BFSI,IEX,132,NSE:IEX,127,-0.1,-3.9,,5.5,1.5,-0.4,,-3.6,-2.3,-1.8,-3.0,-3.5,,,,,,,,,,,,,,,IEX,,
3,REALITY,GODREJPROP,2144,NSE:GODREJPROP,2117,2.1,-1.3,,14.9,0.4,-1.2,,-3.5,-5.2,-1.7,-2.3,-3.6,,,,,,,,,,,,,,,GODREJPROP,,
2,BFSI,ANGELONE,303,NSE:ANGELONE,290,-0.8,-4.4,,-8.1,-0.3,-3.6,,-0.5,-0.8,#N/A,-1.9,-3.7,,,,,,,,,,,,,#N/A,,ANGELONE,,
,BFSI,HDFCLIFE,560,NSE:HDFCLIFE,534,-1.0,-4.5,,-2.7,-0.3,-2.6,,-1.6,-4.5,-3.4,-3.0,-3.8,,,,,,,,,,,,,,,HDFCLIFE,,
,BFSI,ICICIGI,1699,NSE:ICICIGI,1636,-0.4,-3.7,,-2.0,-3.1,-3.9,,-3.3,-3.5,-1.8,-3.0,-3.9,,,,,,,,,,,,,,,ICICIGI,,
1,BFSI,MUTHOOTFIN,3027,NSE:MUTHOOTFIN,2919,1.0,-3.6,,0.9,-0.2,-0.5,,-4.5,-5.0,-4.2,-4.5,-4.8,,,,,,,,,,,,,,,MUTHOOTFIN,,
,POWER,POWERGRID,285,NSE:POWERGRID,269,-0.7,-5.6,,-0.4,-0.7,0.0,,-0.4,-1.2,-1.2,-5.1,-4.8,,,,,,,,,,,,,,,POWERGRID,,
3,CHEMICAL,UPL,601,NSE:UPL,571,-0.4,-5.0,,5.2,1.2,0.3,,3.4,-3.2,-3.6,-4.4,-4.8,,,,,,,,,,,,,,,UPL,,
2,GENERAL,ADANIPORTS,1779,NSE:ADANIPORTS,1678,-1.0,-5.7,,-1.7,-3.3,-6.6,,-4.7,-4.9,-4.9,-4.7,-5.2,,,,,,,,,,,,,,,ADANIPORTS,,
3,FMCG,COLPAL,2143,NSE:COLPAL,2022,-0.4,-5.6,,7.1,1.5,-2.7,,-3.9,-5.7,-5.2,-5.3,-5.4,,,,,,,,,,,,,,,COLPAL,,
,PHARMA,MANKIND,2620,NSE:MANKIND,2444,-0.4,-6.7,,2.5,-1.3,-1.9,,-5.5,-6.3,-6.9,-7.4,-6.3,,,,,,,,,,,,,,,MANKIND,,
3,REALITY,PRESTIGE,1688,NSE:PRESTIGE,1596,0.2,-5.4,,8.8,-1.4,-5.8,,-3.2,-5.3,-5.6,-6.7,-6.4,,,,,,,,,,,,,,,PRESTIGE,,
,REALITY,PHOENIXLTD,2040,NSE:PHOENIXLTD,1914,1.0,-6.2,,3.9,-6.7,-7.4,,-6.5,-4.5,-5.4,-6.2,-7.2,,,,,,,,,,,,,,,PHOENIXLTD,,
,GOODS,BLUESTARCO,1641,NSE:BLUESTARCO,1509,-0.3,-8.0,,1.3,2.7,3.9,,5.4,3.0,0.3,-4.2,-7.7,,,,,,,,,,,,,,,BLUESTARCO,,
,REALITY,LODHA,1311,NSE:LODHA,1225,1.3,-6.5,,37.0,-0.6,-1.8,,-5.9,-5.4,-4.9,-6.6,-7.8,,,,,,,,,,,,,,,LODHA,,
,BFSI,LICHSGFIN,547,NSE:LICHSGFIN,502,-0.4,-8.2,,-3.3,0.8,-1.1,,-5.7,-6.3,-6.5,-7.7,-7.9,,,,,,,,,,,,,,,LICHSGFIN,,
,BFSI,LICI,428,NSE:LICI,394,0.4,-7.8,,-1.3,-1.0,-0.9,,-0.7,-8.5,-8.0,-9.4,-8.2,,,,,,,,,,,,,,,LICI,,
,BFSI,NUVAMA,1799,NSE:NUVAMA,1594,-3.0,-11.4,,-0.7,1.5,0.0,,-1.9,-5.6,-6.7,-7.0,-8.4,,,,,,,,,,,,,,,NUVAMA,,
