Liq,SECTOR,"10-08-26
 09:07:51",JAN,SCRIP,TODAY,"TODAY
CHNG",CHART,CHNG,2Jan,27Jan,24 Feb,30Mar,28 Apr,26 May,30 June,28Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25
,REALITY,PHOENIXLTD,1863,NSE:PHOENIXLTD,1894,-1.0,,1.6,1.8,-9.0,-8.9,-19.5,-5.0,-3.9,5.4,9.5,2.1,1.3,,2.4,4.5,3.5,2.7,1.6,,,,,,,,,,,,
T,CEMENT,ULTRACEMCO,11866,NSE:ULTRACEMCO,12041,-0.3,,1.5,0.5,5.8,9.1,-9.0,-0.4,-1.8,-4.9,1.0,1.0,-0.1,,1.2,1.0,2.7,2.0,1.5,,,,,,,,,,,,
,GOODS,SUPREMEIND,3380,NSE:SUPREMEIND,3427,-1.4,,1.4,4.3,2.3,17.2,10.6,7.7,5.6,-6.6,0.7,2.9,2.2,,4.4,4.1,2.6,2.1,1.4,,,,,,,,,,,,
3,BFSI,IIFL,613,NSE:IIFL,619,1.6,,0.9,4.8,-16.1,-17.8,-30.4,-28.1,-22.6,-17.5,-5.3,-3.5,-0.9,,0.8,-1.3,-0.8,-0.5,0.9,,,,,,,,,,,,
1,DEFENCE,MAZDOCK,2504,NSE:MAZDOCK,2525,-0.2,,0.8,-0.4,-6.6,-9.8,-17.4,7.5,-1.6,-0.7,-8.4,-7.8,-7.1,,-4.8,-4.6,-5.1,1.1,0.8,,,,,,,,,,,,
2,DEFENCE,BEL,402,NSE:BEL,402,0.7,,0.0,0.3,3.8,8.2,-0.1,8.6,4.6,2.6,-3.2,-3.6,-4.3,,-3.4,-3.0,-3.1,-0.7,0.0,,,,,,,,,,,,
2,AUTO,ASHOKLEY,177,NSE:ASHOKLEY,177,-0.3,,-0.1,5.7,8.3,18.9,-12.8,-5.3,-9.2,-10.9,-10.5,-10.9,-10.3,,-1.5,-2.1,-0.7,0.2,-0.1,,,,,,,,,,,,
2,POWER,TATAPOWER,382,NSE:TATAPOWER,382,0.9,,-0.1,2.7,-9.2,-0.5,-0.9,20.9,10.2,1.2,-2.9,-1.4,-1.6,,-0.2,-0.3,-0.3,-0.9,-0.1,,,,,,,,,,,,
,BFSI,BANKINDIA,145,NSE:BANKINDIA,144,1.2,,-0.1,3.2,11.6,21.5,-5.4,-0.1,0.5,-2.6,-5.7,-4.7,-4.9,,-3.6,-3.4,-2.6,-1.3,-0.1,,,,,,,,,,,,
,AUTO,UNOMINDA,1287,NSE:UNOMINDA,1285,0.6,,-0.1,2.7,-11.1,-8.5,-20.0,-12.3,-13.7,-15.0,-9.5,-9.2,-8.9,,-6.3,-4.9,-2.6,-1.8,-0.1,,,,,,,,,,,,
,FMCG,GODFRYPHLP,2290,NSE:GODFRYPHLP,2286,-0.2,,-0.2,,,,,-7.5,0.4,-5.1,-11.0,-9.4,-6.8,,-1.9,2.2,1.6,0.4,-0.2,,,,,,,,,,,,
T,POWER,GAIL,173,NSE:GAIL,172,-2.5,,-0.7,1.3,-7.5,-2.7,-20.4,-4.3,-3.2,-0.5,1.2,1.0,0.2,,0.4,1.4,1.0,1.5,-0.7,,,,,,,,,,,,
3,HOTEL,INDHOTEL,740,NSE:INDHOTEL,735,-0.1,,-0.7,1.0,-13.9,-8.4,-22.8,-11.6,-10.8,-3.3,-0.4,-0.2,1.1,,0.8,0.8,-0.7,-0.9,-0.7,,,,,,,,,,,,
3,BFSI,IDFCFIRSTB,86,NSE:IDFCFIRSTB,85,-0.5,,-0.7,0.4,-2.5,-17.3,-31.2,-19.4,-17.9,-7.3,0.4,-0.6,-1.0,,-0.9,0.0,-0.4,-0.8,-0.7,,,,,,,,,,,,
,BFSI,BAJAJHLDNG,11400,NSE:BAJAJHLDNG,11283,-0.9,#N/A,-1.0,-1.8,-7.4,-0.5,-23.3,-9.7,-6.0,-6.8,-5.4,-4.0,-4.2,,0.2,-0.3,0.8,#N/A,-1.0,,,,,,,,,,,,
1,AUTO,HEROMOTOCO,5797,NSE:HEROMOTOCO,5732,3.3,,-1.1,2.3,-7.5,-4.8,-12.7,-12.3,-14.0,-17.2,-11.0,-11.1,-8.1,,-6.6,-3.8,-2.0,-3.7,-1.1,,,,,,,,,,,,
3,REALTY,PRESTIGE,1600,NSE:PRESTIGE,1581,0.2,,-1.2,1.3,-14.1,-10.5,-29.5,-12.1,-12.2,-3.0,5.6,4.1,-0.5,,2.2,0.0,-0.3,-1.5,-1.2,,,,,,,,,,,,
,BFSI,360ONE,1185,NSE:360ONE,1168,-1.5,,-1.4,1.3,-6.7,-5.5,-21.1,-12.2,-5.0,-9.9,-5.0,-1.9,-4.0,,-3.7,-2.3,0.4,0.1,-1.4,,,,,,,,,,,,
1,GENERAL,LT,4108,NSE:LT,4040,-0.5,,-1.6,1.4,-8.0,4.0,-14.7,-1.6,-1.7,0.9,-6.8,-4.4,-4.1,,-2.7,-2.6,-1.5,-1.1,-1.6,,,,,,,,,,,,
5,GOODS,CROMPTON,254,NSE:CROMPTON,249,-7.7,,-1.9,-0.8,-13.7,3.1,-11.7,5.9,14.0,8.1,-2.5,4.3,2.3,,4.8,4.4,4.3,5.6,-1.9,,,,,,,,,,,,
2,BFSI,BAJAJFINSV,2045,NSE:BAJAJFINSV,2004,-3.9,,-2.0,-0.3,-6.2,0.0,-20.0,-13.0,-11.6,-13.4,-5.7,-5.8,-6.7,,1.9,1.8,1.7,1.9,-2.0,,,,,,,,,,,,
2,CEMENT,SHREECEM,26660,NSE:SHREECEM,26095,-0.6,,-2.1,1.6,1.8,-0.4,-13.7,-5.7,-5.3,-5.0,0.2,0.4,-0.6,,0.6,1.1,0.5,-1.0,-2.1,,,,,,,,,,,,
1,OIL,ONGC,242,NSE:ONGC,237,-0.2,,-2.1,-0.2,2.3,14.3,17.5,24.5,18.5,-3.0,-1.5,-1.8,-0.5,,-0.7,-0.2,-1.3,-2.2,-2.1,,,,,,,,,,,,
3,METAL,HINDZINC,616,NSE:HINDZINC,603,2.2,,-2.2,1.8,15.2,-2.7,-17.1,0.1,5.1,-13.4,-14.4,-12.4,-12.9,,-11.3,-8.6,-3.1,-4.3,-2.2,,,,,,,,,,,,
2,REALITY,ASIANPAINT,2783,NSE:ASIANPAINT,2721,-1.2,,-2.2,-0.4,-5.9,-13.2,-22.1,-11.7,-5.0,-5.1,-1.6,-0.8,-1.2,,-0.3,-1.3,-0.9,-1.0,-2.2,,,,,,,,,,,,
1,BFSI,AXISBANK,1274,NSE:AXISBANK,1242,-1.1,,-2.5,-0.4,3.6,8.8,-8.3,1.2,2.2,6.1,-3.9,-3.0,-3.4,,-1.7,-2.0,-1.5,-1.4,-2.5,,,,,,,,,,,,
2,OIL REFINE,PETRONET,285,NSE:PETRONET,278,0.4,,-2.6,1.9,-3.0,7.6,-13.1,-2.5,-1.5,-1.5,-2.3,-2.7,-2.2,,-1.1,-1.9,-1.3,-2.6,-2.6,,,,,,,,,,,,
3,BFSI,LTF,316,NSE:LTF,307,-3.0,,-2.7,1.1,-8.9,-5.3,-23.6,-9.3,-10.4,-1.8,-1.0,-1.9,-3.1,,0.7,1.0,1.2,0.6,-2.7,,,,,,,,,,,,
2,PHARMA,CIPLA,1516,NSE:CIPLA,1470,-0.5,,-3.0,-0.4,-15.4,-12.3,-19.4,-13.5,-6.4,-3.2,-4.5,-2.8,-3.2,,-3.7,-4.2,-3.7,-2.8,-3.0,,,,,,,,,,,,
3,FMCG,COLPAL,2092,NSE:COLPAL,2027,-0.1,,-3.1,0.1,2.8,7.0,-14.2,1.9,-0.1,-4.4,2.4,3.9,-0.4,,-1.6,-3.5,-2.9,-3.1,-3.1,,,,,,,,,,,,
,POWER,NHPC,80,NSE:NHPC,77,-0.7,,-3.2,5.0,-5.2,-4.6,-7.8,7.6,-1.4,2.4,-1.6,-2.0,-1.7,,0.5,1.1,-1.6,-2.5,-3.2,,,,,,,,,,,,
5,POWER,CONCOR,527,NSE:CONCOR,507,-1.0,,-3.8,1.0,-8.7,-3.9,-19.5,-3.2,-9.8,-9.4,-0.5,-0.2,-0.2,,-0.5,-2.3,-1.5,-2.9,-3.8,,,,,,,,,,,,
,GOODS,KAYNES,4027,NSE:KAYNES,3850,0.5,,-4.4,-1.2,-19.7,-4.1,-15.1,2.4,-18.1,-22.3,-19.3,-9.2,-9.9,,-5.5,-3.7,-3.2,-4.6,-4.4,,,,,,,,,,,,
,AUTO,HYUNDAI,2311,NSE:HYUNDAI,2197,-0.7,,-4.9,,,,-23.0,-20.9,-18.3,-17.5,-13.3,-13.8,-11.7,,-4.5,-3.9,-4.6,-4.4,-4.9,,,,,,,,,,,,
1,BFSI,HDFCAMC,2688,NSE:HDFCAMC,2551,0.5,,-5.1,-1.1,-10.5,0.1,-17.7,3.0,1.9,-1.2,-5.7,-5.4,-5.2,,-4.2,-5.7,-4.9,-5.6,-5.1,,,,,,,,,,,,
3,BFSI,IEX,135,NSE:IEX,127,-1.1,,-5.3,0.0,-5.3,-6.2,-14.5,-6.4,-5.0,-7.0,-1.9,-0.4,-2.3,,-5.4,-4.1,-3.7,-4.9,-5.3,,,,,,,,,,,,
2,GOODS,VOLTAS,1361,NSE:VOLTAS,1283,0.6,,-5.7,4.8,-1.5,13.0,-5.9,11.4,-6.4,-5.9,-3.5,-3.2,-1.7,,-2.5,-3.4,-4.0,-6.2,-5.7,,,,,,,,,,,,
,DEFENCE,COCHINSHIP,1622,NSE:COCHINSHIP,1521,2.1,#N/A,-6.2,,,,-26.3,4.8,-5.8,-6.7,-14.4,-13.7,-13.4,,-11.1,-11.7,-12.5,#N/A,-6.2,,,,,,,,,,,,
1,AUTO,M&M,3737,NSE:M&M,3502,2.8,,-6.3,1.7,-10.1,-7.9,-20.7,-17.5,-16.8,-17.7,-12.2,-13.6,-11.8,,-9.1,-8.7,-7.4,-8.6,-6.3,,,,,,,,,,,,
2,AUTO,TMPV,370,NSE:TMPV,346,0.2,,-6.5,0.1,-8.8,1.7,-19.7,-5.0,4.3,-4.9,-12.2,-10.8,-9.4,,-6.2,-6.7,-6.2,-7.1,-6.5,,,,,,,,,,,,
5,BFSI,LICHSGFIN,541,NSE:LICHSGFIN,504,-0.2,,-6.9,0.8,-5.3,-1.7,-8.3,1.4,0.3,4.5,1.1,2.0,0.0,,-4.6,-5.3,-5.4,-6.7,-6.9,,,,,,,,,,,,
5,REALTY,DLF,692,NSE:DLF,643,0.2,,-7.1,0.9,-13.3,-11.3,-27.2,-15.0,-14.9,-10.4,-4.1,-3.1,-5.3,,-4.3,-6.6,-5.7,-7.2,-7.1,,,,,,,,,,,,
1,COMN,BHARTIARTL,2120,NSE:BHARTIARTL,1956,0.4,,-7.7,-0.5,-7.0,-8.3,-15.6,-12.7,-12.9,-12.5,-10.2,-8.2,-8.2,,-7.9,-7.8,-7.4,-8.2,-7.7,,,,,,,,,,,,
2,BFSI,PNB,125,NSE:PNB,115,0.4,,-7.9,0.9,-0.9,5.2,-19.1,-10.5,-14.9,-14.3,-10.2,-10.8,-10.2,,-9.2,-8.7,-8.8,-8.1,-7.9,,,,,,,,,,,,
1,PHARMA,DRREDDY,1273,NSE:DRREDDY,1169,-0.2,,-8.2,-1.2,-2.8,2.2,-1.6,5.9,4.5,6.9,-10.9,-10.2,-10.1,,-8.1,-8.8,-7.4,-7.8,-8.2,,,,,,,,,,,,
3,GENERAL,NAUKRI,1341,NSE:NAUKRI,1229,-0.9,,-8.4,1.7,-4.5,-23.6,-28.1,-24.7,-26.8,-26.9,-8.0,-6.9,-7.2,,-5.7,-6.0,-8.2,-8.1,-8.4,,,,,,,,,,,,
,BFSI,CDSL,1454,NSE:CDSL,1330,-0.1,,-8.5,0.9,-9.2,-8.7,-22.9,-8.9,-15.3,-10.3,-7.3,-7.2,-8.0,,-9.1,-7.8,-8.5,-8.6,-8.5,,,,,,,,,,,,
,BFSI,LICI,430,NSE:LICI,393,1.3,,-8.7,0.3,-6.2,3.1,-15.4,-4.8,-0.3,0.7,-0.6,-1.6,-1.5,,-1.3,-9.0,-8.5,-9.9,-8.7,,,,,,,,,,,,
,POWER,WAAREEENER,2986,NSE:WAAREEENER,2717,2.1,,-9.0,-4.2,-10.5,1.8,4.2,16.0,3.4,-1.1,-9.9,-8.7,-11.8,,-10.1,-10.3,-10.2,-10.6,-9.0,,,,,,,,,,,,
5,COMN,INDUSTOWER,423,NSE:INDUSTOWER,386,0.0,,-8.7,4.5,0.2,11.3,-1.8,-2.0,2.7,-7.1,-10.0,-8.7,-7.2,,-7.4,-7.8,-8.5,-8.7,-9.0,,,,,,,,,,,,
3,BFSI,SBILIFE,2048,NSE:SBILIFE,1860,-0.1,,-9.2,0.7,-0.6,1.9,-13.1,-11.7,-7.9,-13.2,-7.8,-7.4,-8.8,,-6.5,-8.6,-8.4,-8.9,-9.2,,,,,,,,,,,,
,POWER,SUZLON,53,NSE:SUZLON,48,0.0,,-9.3,2.3,-14.8,-16.4,-25.3,8.1,3.0,11.1,-9.5,-10.4,-10.6,,-8.1,-9.5,-9.4,-9.3,-9.3,,,,,,,,,,,,
3,FMCG,BRITANNIA,6073,NSE:BRITANNIA,5508,1.9,,-9.3,-1.4,-3.3,1.6,-10.8,-6.6,-11.9,-15.1,-9.7,-8.9,-8.9,,-9.8,-10.5,-10.4,-10.8,-9.3,,,,,,,,,,,,
3,FMCG,TATACONSUM,1199,NSE:TATACONSUM,1082,-0.7,,-9.7,-2.3,-0.8,-1.9,-15.5,-4.3,-0.8,-10.5,-9.3,-8.9,-8.7,,-8.3,-9.5,-9.2,-9.3,-9.7,,,,,,,,,,,,
2,FMCG,HINDUNILVR,2326,NSE:HINDUNILVR,2096,0.8,,-9.9,1.0,3.2,1.7,-11.6,-1.5,-5.2,-8.7,-13.2,-8.9,-9.4,,-8.9,-10.5,-10.4,-10.3,-9.9,,,,,,,,,,,,
,GOODS,HAVELLS,1431,NSE:HAVELLS,1286,0.0,,-10.1,0.7,-10.5,-2.1,-16.5,-11.1,-15.8,-19.1,-14.2,-13.4,-11.8,,-10.2,-10.1,-10.0,-10.1,-10.1,,,,,,,,,,,,
3,FMCG,VBL,493,NSE:VBL,442,-0.5,,-10.3,0.2,-4.7,-6.2,-22.0,5.5,8.0,3.6,-12.8,-9.2,-8.4,,-9.7,-10.7,-11.0,-10.1,-10.3,,,,,,,,,,,,
,BFSI,MFSL,1689,NSE:MFSL,1510,-0.6,,-10.6,-0.9,-7.6,9.1,-12.6,-4.6,2.0,-6.1,-10.5,-10.0,-10.5,,-9.2,-10.8,-9.9,-9.9,-10.6,,,,,,,,,,,,
,IT,MPHASIS,2804,NSE:MPHASIS,2487,2.7,,-11.3,0.2,0.7,-20.6,-26.3,-19.0,-18.4,-22.6,-13.8,-16.2,-16.3,,-13.9,-15.0,-13.3,-14.2,-11.3,,,,,,,,,,,,
,AUTO,FORCEMOT,20860,NSE:FORCEMOT,18500,-1.0,,-11.3,,,,,-0.2,-4.8,-10.8,-17.6,-16.9,-15.6,,-11.6,-12.1,-11.1,-10.4,-11.3,,,,,,,,,,,,
1,BFSI,KOTAKBANK,443,NSE:KOTAKBANK,389,-1.2,,-12.0,-1.0,-7.4,-3.3,-20.2,-14.7,-12.0,-10.5,-12.8,-12.0,-12.4,,-11.4,-10.8,-10.2,-10.7,-12.0,,,,,,,,,,,,
,DEFENCE,BDL,1473,NSE:BDL,1293,-0.5,,-12.2,1.3,0.4,-15.6,-25.9,-4.8,-9.7,-6.5,-14.1,-14.5,-15.4,,-14.5,-14.1,-15.9,-11.8,-12.2,,,,,,,,,,,,
2,FMCG,JUBLFOOD,555,NSE:JUBLFOOD,487,3.0,,-12.3,-0.5,-13.3,-6.1,-21.3,-13.5,-22.7,-24.8,-22.3,-20.6,-20.7,,-15.3,-16.2,-12.1,-14.7,-12.3,,,,,,,,,,,,
2,BFSI,POLICYBZR,1836,NSE:POLICYBZR,1610,0.7,,-12.3,-2.8,-13.6,-18.3,-22.4,-9.2,-3.3,-10.7,-13.3,-12.3,-13.2,,-11.3,-13.0,-11.4,-13.4,-12.3,,,,,,,,,,,,
2,IT,PERSISTENT,6288,NSE:PERSISTENT,5475,0.3,,-12.9,0.1,-0.8,-25.6,-22.9,-23.6,-18.6,-31.2,-13.5,-13.1,-12.4,,-12.0,-12.9,-11.9,-12.9,-12.9,,,,,,,,,,,,
,GOODS,BLUESTARCO,1741,NSE:BLUESTARCO,1514,-3.6,,-13.0,3.4,-5.0,13.0,-7.4,8.3,-6.0,-6.9,-5.8,-3.2,-2.1,,-0.7,-3.0,-5.5,-9.8,-13.0,,,,,,,,,,,,
,BFSI,KFINTECH,1077,NSE:KFINTECH,936,0.7,,-13.1,0.8,-5.0,-6.9,-19.2,-11.1,-22.4,-18.2,-10.0,-12.0,-12.7,,-12.3,-12.0,-11.9,-13.8,-13.1,,,,,,,,,,,,
,BFSI,JIOFIN,297,NSE:JIOFIN,257,0.0,,-13.5,1.6,-15.5,-13.8,-24.4,-15.5,-18.8,-20.3,-20.0,-16.2,-16.9,,-11.8,-10.9,-11.8,-11.0,-13.2,,,,,,,,,,,,
,FMCG,GODREJCP,1230,NSE:GODREJCP,1050,-2.5,,-14.6,0.5,-4.4,0.5,-19.1,-11.0,-15.9,-17.4,-13.3,-12.2,-12.9,,-12.5,-13.5,-12.9,-12.2,-14.6,,,,,,,,,,,,
,BFSI,IREDA,141,NSE:IREDA,120,-1.0,,-14.8,4.4,-8.1,-10.2,-22.6,-1.5,-7.7,-8.4,-14.5,-14.0,-14.8,,-12.5,-14.4,-14.1,-13.7,-14.8,,,,,,,,,,,,
2,OIL REFINE,IOC,167,NSE:IOC,142,-0.1,,-14.9,-0.5,-4.9,7.8,-18.7,-13.0,-14.8,-16.8,-15.5,-16.4,-16.5,,-14.5,-15.1,-14.5,-14.4,-14.9,,,,,,,,,,,,
3,CHEMICAL,SRF,3081,NSE:SRF,2617,-0.3,,-15.1,-0.9,-14.7,-15.9,-20.8,-17.9,-10.8,-11.0,-14.3,-14.2,-15.4,,-14.4,-15.1,-14.2,-14.9,-15.1,,,,,,,,,,,,
,GOODS,PIIND,3253,NSE:PIIND,2760,-1.3,,-15.1,-0.1,-2.4,-4.5,-16.4,-3.9,-12.6,-21.3,-16.8,-15.5,-14.5,,-13.6,-13.7,-13.4,-13.9,-15.1,,,,,,,,,,,,
1,BFSI,CANBK,155,NSE:CANBK,132,-0.1,,-15.2,0.2,-0.1,1.2,-20.3,-11.5,-14.0,-18.9,-19.8,-19.8,-19.7,,-18.2,-17.7,-17.2,-15.2,-15.2,,,,,,,,,,,,
,CEMENT,DALBHARAT,2155,NSE:DALBHARAT,1825,0.1,,-15.3,-0.2,-2.2,-3.6,-16.9,-10.2,-17.1,-21.1,-15.8,-15.8,-16.6,,-15.2,-15.6,-15.3,-15.1,-15.3,,,,,,,,,,,,
0,GENERAL,RELIANCE,1577,NSE:RELIANCE,1329,0.3,,-15.7,1.0,-14.0,-9.3,-14.5,-11.7,-14.0,-17.9,-19.4,-19.0,-18.2,,-17.0,-18.2,-18.8,-16.2,-15.7,,,,,,,,,,,,
1,BFSI,BANKBARODA,298,NSE:BANKBARODA,250,-0.4,,-16.1,2.6,1.6,5.0,-17.1,-9.8,-9.1,-8.3,-19.7,-18.4,-18.8,,-17.3,-17.4,-17.4,-16.1,-16.1,,,,,,,,,,,,
1,IT,HCLTECH,1618,NSE:HCLTECH,1349,1.1,,-16.6,1.3,5.9,-17.0,-16.9,-25.8,-28.1,-33.7,-18.4,-17.1,-16.5,,-15.6,-16.1,-17.2,-17.4,-16.6,,,,,,,,,,,,
1,AUTO,MARUTI,16827,NSE:MARUTI,14015,-0.5,,-16.7,0.8,-10.4,-11.3,-27.2,-23.4,-21.3,-15.9,-18.0,-17.2,-15.7,,-16.2,-16.2,-15.8,-16.6,-16.7,,,,,,,,,,,,
,BFSI,ICICIGI,1974,NSE:ICICIGI,1632,-1.6,,-17.3,-0.1,-8.9,-3.6,-13.5,-9.8,-5.8,-12.2,-13.9,-16.6,-17.3,,-16.8,-16.9,-15.4,-16.5,-17.3,,,,,,,,,,,,
2,OIL,BPCL,386,NSE:BPCL,319,-1.5,,-17.4,-1.2,-7.8,-2.9,-27.1,-20.1,-21.0,-21.2,-17.1,-17.9,-18.1,,-15.4,-16.5,-15.7,-15.8,-17.4,,,,,,,,,,,,
3,FMCG,DABUR,507,NSE:DABUR,412,0.2,,-18.7,3.5,1.7,2.0,-19.1,-11.3,-11.8,-16.7,-16.0,-14.3,-15.7,,-16.3,-19.6,-18.5,-18.5,-18.7,,,,,,,,,,,,
,FMCG,VMM,136,NSE:VMM,109,-0.9,,-20.2,,,,-22.2,-7.0,-10.9,-12.9,-19.6,-20.4,-20.7,,-18.5,-18.2,-18.3,-19.1,-20.2,,,,,,,,,,,,
2,OIL,HINDPETRO,502,NSE:HINDPETRO,393,-0.4,,-21.6,-0.9,-19.3,-10.8,-33.1,-24.2,-20.8,-21.4,-20.2,-21.7,-22.5,,-21.6,-21.8,-21.4,-21.1,-21.6,,,,,,,,,,,,
5,REALITY,NBCC,122,NSE:NBCC,95,-1.1,,-22.1,0.4,-25.4,-22.4,-36.4,-22.4,-21.5,-14.1,-22.7,-22.7,-23.3,,-22.0,-22.4,-21.5,-21.2,-22.1,,,,,,,,,,,,
2,CEMENT,AMBUJACEM,559,NSE:AMBUJACEM,434,-0.6,,-22.3,1.3,-4.9,-7.6,-28.1,-17.7,-19.4,-24.3,-23.8,-22.2,-22.0,,-20.9,-21.2,-20.7,-21.9,-22.3,,,,,,,,,,,,
3,IT,LTM,6083,NSE:LTM,4675,3.3,,-23.1,0.0,-1.6,-25.7,-33.8,-28.5,-34.5,-41.8,-29.2,-27.5,-27.0,,-23.4,-25.1,-25.6,-25.6,-23.1,,,,,,,,,,,,
T,BFSI,SBICARD,866,NSE:SBICARD,660,-0.1,,-23.8,1.2,-12.2,-9.5,-26.5,-25.2,-27.2,-31.2,-24.2,-23.6,-24.0,,-22.6,-23.6,-23.2,-23.7,-23.8,,,,,,,,,,,,
1,IT,TCS,3223,NSE:TCS,2455,3.5,,-23.8,0.7,-1.8,-19.9,-26.6,-24.0,-29.2,-36.9,-25.6,-24.3,-24.5,,-24.0,-24.2,-25.1,-26.3,-23.8,,,,,,,,,,,,
E,GENERAL,IRCTC,688,NSE:IRCTC,520,-0.1,,-24.4,1.0,-12.5,-10.6,-28.0,-20.9,-21.8,-26.9,-29.3,-27.8,-28.2,,-26.4,-25.9,-25.7,-24.3,-24.4,,,,,,,,,,,,
1,BFSI,MUTHOOTFIN,3837,NSE:MUTHOOTFIN,2883,-0.4,,-24.9,-0.3,0.8,-8.8,-16.9,-8.9,-12.9,-21.8,-21.1,-21.3,-21.5,,-24.6,-25.1,-24.4,-24.6,-24.9,,,,,,,,,,,,
,BFSI,ICICIPRULI,671,NSE:ICICIPRULI,502,-1.0,,-25.2,1.0,-5.2,-1.5,-23.9,-22.2,-22.1,-26.9,-24.0,-23.6,-23.8,,-22.6,-24.3,-23.4,-24.5,-25.2,,,,,,,,,,,,
1,BFSI,HDFCBANK,998,NSE:HDFCBANK,732,-0.3,,-26.6,0.2,-7.5,-8.7,-26.4,-21.6,-21.8,-19.8,-26.2,-25.0,-24.5,,-24.7,-26.0,-26.4,-26.5,-26.6,,,,,,,,,,,,
,FOOD DELI,SWIGGY,388,NSE:SWIGGY,280,-3.0,,-27.7,-0.1,-22.5,-18.9,-32.1,-26.4,-34.2,-38.1,-30.3,-26.1,-24.2,,-25.7,-25.0,-25.9,-25.9,-27.7,,,,,,,,,,,,
1,IT,INFY,1626,NSE:INFY,1175,0.9,,-27.8,1.0,3.6,-21.3,-23.3,-29.2,-28.3,-38.1,-32.1,-29.1,-29.0,,-28.0,-28.8,-28.1,-28.3,-27.8,,,,,,,,,,,,
2,IT,TATAELXSI,5250,NSE:TATAELXSI,3780,1.8,,-28.0,2.3,3.5,-13.9,-24.3,-21.1,-17.4,-27.1,-31.9,-30.0,-30.4,,-28.3,-28.8,-28.6,-29.0,-28.0,,,,,,,,,,,,
3,CHEMICAL,UPL,798,NSE:UPL,572,-0.2,,-28.4,0.7,-11.3,-20.9,-28.8,-19.0,-17.9,-28.4,-24.7,-23.8,-24.5,,-22.1,-27.1,-27.4,-28.0,-28.4,,,,,,,,,,,,
,BFSI,HDFCLIFE,754,NSE:HDFCLIFE,538,-0.8,,-28.6,-0.1,-4.0,-1.8,-21.3,-21.7,-17.8,-23.7,-25.8,-26.0,-27.7,,-27.0,-29.1,-28.3,-28.0,-28.6,,,,,,,,,,,,
2,IT,WIPRO,262,NSE:WIPRO,187,0.3,,-28.8,2.5,-11.4,-23.6,-28.7,-23.1,-22.4,-35.1,-31.0,-30.1,-28.9,,-28.1,-28.5,-28.7,-29.1,-28.8,,,,,,,,,,,,
,BFSI,IRFC,125,NSE:IRFC,89,-0.6,,-29.0,2.7,-8.6,-12.0,-30.1,-15.9,-20.6,-27.4,-30.1,-28.4,-28.9,,-27.8,-28.2,-28.9,-28.5,-29.0,,,,,,,,,,,,
1,FMCG,ITC,405,NSE:ITC,285,-0.4,,-29.7,-15.8,-26.7,-20.0,-28.8,-24.9,-25.5,-29.1,-29.7,-29.4,-29.5,,-29.3,-29.3,-29.2,-29.7,-29.7,,,,,,,,,,,,
,RAIL INFRA,RVNL,353,NSE:RVNL,233,-0.7,,-33.9,3.4,-8.3,-9.0,-29.2,-12.5,-26.3,-33.1,-37.3,-36.4,-36.8,,-34.0,-34.4,-35.2,-33.4,-33.9,,,,,,,,,,,,
5,FMCG,PATANJALI,548,NSE:PATANJALI,355,-0.1,,-35.3,1.7,-9.6,-4.7,-16.6,-15.4,-15.2,-25.4,-37.6,-34.9,-35.3,,-34.2,-34.7,-35.2,-35.2,-35.3,,,,,,,,,,,,
,POWER,INOXWIND,125,NSE:INOXWIND,78,-0.7,,-37.6,2.4,-18.7,-23.3,-39.5,-16.8,-22.5,-27.6,-39.0,-38.3,-39.7,,-36.3,-36.3,-36.9,-37.2,-37.6,,,,,,,,,,,,
3,GOODS,TRENT,4825,NSE:TRENT,2996,-3.6,,-37.9,2.5,-12.5,-8.4,-23.1,-0.6,-1.2,-32.2,-39.3,-37.8,-37.7,,-37.0,-36.2,-35.5,-35.6,-37.9,,,,,,,,,,,,
E,PHARMA,SYNGENE,653,NSE:SYNGENE,401,0.2,,-38.7,0.4,-33.9,-33.1,-40.4,-32.6,-29.0,-32.8,-37.4,-36.7,-38.8,,-38.5,-37.0,-37.8,-38.8,-38.7,,,,,,,,,,,,
,IT,KPITTECH,1173,NSE:KPITTECH,630,1.1,,-46.3,-0.4,-5.6,-35.2,-45.9,-37.2,-32.6,-42.8,-48.4,-45.6,-49.6,,-47.2,-46.7,-46.7,-47.1,-46.3,,,,,,,,,,,,
