Liq,SECTOR,"10-08-26
 09:07:51",JAN,SCRIP,TODAY,"TODAY
CHNG",CHART,CHNG,2Jan,27Jan,24 Feb,30Mar,28 Apr,26 May,30 June,28Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25
,PHARMA,TORNTPHARM,3845,NSE:TORNTPHARM,4948,-0.2,,28.7,0.7,3.2,14.9,9.8,8.9,15.7,20.9,27.2,26.9,27.2,,30.6,30.8,29.8,29.2,28.7,,,,,,,,,,,,
2,PHARMA,DIVISLAB,6424,NSE:DIVISLAB,8252,-1.2,,28.5,-0.5,-6.1,-2.3,-7.2,0.5,5.0,2.7,15.6,21.6,21.7,,29.7,30.3,30.6,28.9,28.5,,,,,,,,,,,,
2,GOODS,SIEMENS,3080,NSE:SIEMENS,3938,-0.4,,27.8,0.6,-6.2,9.5,-4.9,24.5,19.5,16.9,19.6,18.5,19.0,,26.8,29.9,28.8,28.4,27.8,,,,,,,,,,,,
T,METAL,VEDL,218,NSE:VEDL,277,0.8,,27.2,1.9,14.4,15.5,8.9,22.7,58.2,28.9,19.1,21.7,22.3,,21.4,23.3,26.6,26.0,27.2,,,,,,,,,,,,
T,PHARMA,APOLLOHOSP,7088,NSE:APOLLOHOSP,8930,-0.5,,26.0,0.5,-3.9,8.9,5.8,9.2,16.6,22.3,26.1,25.6,26.4,,24.4,25.3,25.6,26.2,26.0,,,,,,,,,,,,
,FMCG,NYKAA,265,NSE:NYKAA,331,-0.2,,24.9,-0.4,-12.0,-1.3,-10.8,1.7,0.5,17.8,23.9,23.3,25.8,,28.7,26.9,25.5,25.1,24.9,,,,,,,,,,,,
,REALITY,KEI,4485,NSE:KEI,5598,0.1,,24.8,0.6,-17.3,7.5,-10.4,11.4,18.6,20.1,7.9,8.1,7.0,,12.0,22.6,23.1,24.4,24.8,,,,,,,,,,,,
2,BFSI,ANGELONE,234,NSE:ANGELONE,292,-1.9,,24.4,2.1,8.4,5.2,-2.4,36.1,47.2,40.6,29.2,28.8,24.5,,28.6,28.1,27.6,26.7,24.4,,,,,,,,,,,,
,POWER,PREMIERENE,847,NSE:PREMIERENE,1048,0.6,,23.8,0.1,-19.8,-7.7,6.2,22.2,20.4,24.3,19.8,21.9,16.2,,21.4,22.7,22.3,23.0,23.8,,,,,,,,,,,,
3,JEWEL,KALYANKJIL,488,NSE:KALYANKJIL,604,1.1,,23.7,1.4,-31.8,-16.4,-23.0,-15.3,-27.1,-20.7,24.5,29.1,29.4,,24.5,21.1,16.6,22.4,23.7,,,,,,,,,,,,
2,AUTO,BAJAJ-AUTO,9410,NSE:BAJAJ-AUTO,11640,0.2,,23.7,0.9,0.9,4.7,-6.9,0.8,12.7,3.0,21.2,20.4,21.6,,22.3,22.8,24.3,23.1,23.7,,,,,,,,,,,,
5,BFSI,RBLBANK,317,NSE:RBLBANK,388,-1.2,,22.3,1.3,-6.8,3.8,-8.4,1.4,8.9,16.5,15.0,17.0,19.2,,19.7,20.3,23.1,22.8,22.3,,,,,,,,,,,,
T,POWER,CUMMINSIND,4445,NSE:CUMMINSIND,5426,0.4,,22.1,1.0,-12.8,10.6,0.2,18.1,21.5,28.1,22.7,20.9,21.6,,23.7,23.7,21.5,21.6,22.1,,,,,,,,,,,,
T,JEWEL,TITAN,4060,NSE:TITAN,4944,-1.1,,21.8,-0.2,-1.4,5.7,-2.6,8.9,1.4,8.9,19.7,19.6,19.3,,20.8,20.5,20.8,23.0,21.8,,,,,,,,,,,,
,PHARMA,ZYDUSLIFE,917,NSE:ZYDUSLIFE,1115,0.7,,21.6,0.1,-2.9,-1.1,-4.2,-0.5,17.4,21.3,20.0,22.3,21.9,,21.6,22.1,21.1,20.3,21.6,,,,,,,,,,,,
T,METAL,NATIONALUM,316,NSE:NATIONALUM,381,0.0,,20.7,4.2,18.1,8.8,22.6,40.3,32.3,7.8,6.4,9.6,10.5,,15.7,20.7,20.1,20.4,20.7,,,,,,,,,,,,
E,PHARMA,PPLPHARMA,173,NSE:PPLPHARMA,209,0.4,,20.6,2.8,-12.9,-8.3,-21.1,-4.9,3.2,-3.3,11.5,12.5,13.5,,14.9,16.4,18.7,20.0,20.6,,,,,,,,,,,,
3,REALITY,POLYCAB,7658,NSE:POLYCAB,9218,-1.0,,20.4,1.9,-12.7,6.0,-10.8,8.0,25.8,30.2,19.2,18.1,16.2,,18.0,19.8,20.1,21.4,20.4,,,,,,,,,,,,
5,BFSI,BANDHANBNK,147,NSE:BANDHANBNK,176,0.8,,20.0,-1.2,1.8,23.5,-3.8,21.3,37.2,39.1,15.1,18.2,17.8,,18.2,18.8,19.6,19.6,20.0,,,,,,,,,,,,
,BFSI,PNBHOUSING,955,NSE:PNBHOUSING,1143,-0.6,,19.7,4.4,-15.5,-12.3,-20.4,9.9,14.9,9.2,12.4,11.0,8.2,,13.2,13.2,17.5,20.5,19.7,,,,,,,,,,,,
5,COMN,IDEA,11,NSE:IDEA,13,0.9,,18.8,9.5,-8.4,2.1,-20.3,-7.2,31.4,34.8,20.7,21.9,20.1,,20.0,19.4,19.8,18.0,18.8,,,,,,,,,,,,
3,FMCG,NESTLEIND,1293,NSE:NESTLEIND,1535,0.0,,18.8,-0.9,1.0,2.0,-8.7,11.5,10.8,9.4,15.5,16.5,17.5,,17.1,15.3,17.6,17.6,18.8,,,,,,,,,,,,
5,METAL,SAIL,148,NSE:SAIL,176,-0.4,,18.8,-0.5,5.4,8.0,1.9,25.5,37.4,17.0,12.0,15.6,14.0,,15.0,17.2,18.6,19.5,18.8,,,,,,,,,,,,
1,AUTO,TVSMOTOR,3746,NSE:TVSMOTOR,4441,1.5,,18.6,3.3,-4.6,2.0,-10.3,-6.6,-7.9,-7.3,6.2,8.2,12.3,,16.0,16.4,18.3,17.5,18.6,,,,,,,,,,,,
2,BFSI,UNIONBANK,155,NSE:UNIONBANK,183,0.5,,18.5,1.4,12.0,29.5,5.9,10.5,8.4,11.4,8.3,10.5,10.2,,12.2,12.0,13.0,17.2,18.5,,,,,,,,,,,,
2,METAL,HINDALCO,890,NSE:HINDALCO,1054,2.6,,18.4,4.0,7.7,4.0,-0.2,20.5,24.5,7.8,5.7,8.4,9.0,,11.3,14.4,16.4,15.3,18.4,,,,,,,,,,,,
5,BFSI,MANAPPURAM,310,NSE:MANAPPURAM,367,0.8,,18.4,0.4,-5.0,-1.3,-18.9,-5.3,6.8,4.4,16.9,19.7,18.8,,17.5,15.1,17.4,17.2,18.4,,,,,,,,,,,,
2,BFSI,MCX,2238,NSE:MCX,2638,-0.1,,17.9,-0.9,8.3,7.4,6.8,29.5,48.0,26.9,21.8,21.4,19.8,,17.8,19.2,16.1,17.7,17.9,,,,,,,,,,,,
1,BFSI,INDUSINDBK,869,NSE:INDUSINDBK,1020,0.4,,17.4,3.6,2.7,7.3,-13.2,1.8,7.6,6.1,14.0,16.4,16.3,,17.2,17.2,17.1,16.3,17.4,,,,,,,,,,,,
2,POWER,PFC,357,NSE:PFC,419,0.2,,17.4,5.0,1.6,17.5,6.3,33.3,21.5,19.0,17.6,19.5,19.5,,17.0,17.4,16.8,16.2,17.4,,,,,,,,,,,,
,GOODS,BOSCHLTD,36215,NSE:BOSCHLTD,42420,1.0,,17.1,7.6,-1.9,-2.3,-20.6,2.2,-0.9,10.5,14.2,13.5,14.9,,13.8,13.8,18.2,16.6,17.1,,,,,,,,,,,,
T,CEMENT,GRASIM,2843,NSE:GRASIM,3325,3.3,,16.9,0.8,0.6,1.3,-10.6,-2.4,11.3,9.2,9.6,9.5,9.0,,11.6,9.8,13.1,13.0,16.9,,,,,,,,,,,,
