Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,Now,"TODAY
CHNG","FROM 
28 Jul",,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,DAILY,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
0,INDEX,NIFTYBEES,274,NSE:NIFTYBEES,280,0.2,2.4,,0.8,0.2,,0.9,-0.4,0.5,0.2,-0.3,,,,,,,,,,,,,,,NIFTY,,
0,INDEX,SENSEXBETA,845,NSE:SENSEXBETA,870,0.3,3.0,,0.1,1.0,,-0.3,0.1,-0.1,-0.7,0.8,,,,,,,,,,,,,,,,,
0,INDEX,BANKBEES,588,NSE:BANKBEES,598,-0.1,1.7,,0.7,-0.1,,0.9,-0.2,0.1,0.6,-0.2,,,,,,,,,,,,,,,BANKNIFTY,,
0,BULLIEN,GOLDBEES,117,NSE:GOLDBEES,124,0.7,6.5,,0.1,0.5,,0.1,-0.1,1.9,2.4,0.7,,,,,,,,,,,,,,,GOLD,,
0,BULLIEN,SILVERBEES,206,NSE:SILVERBEES,220,0.0,6.8,,0.2,0.0,,0.0,0.3,2.9,0.5,2.7,,,,,,,,,,,,,,,SILVER,,
,AUTO,MOTHERSON,148,NSE:MOTHERSON,170,0.7,14.6,,-1.2,0.5,,2.4,-3.4,2.5,-0.2,9.0,,,,,,,,,,,,,,,MOTHERSON,,
,PHARMA,AUROPHARMA,1557,NSE:AUROPHARMA,1658,0.1,6.5,,2.4,-0.9,,-2.3,1.7,1.8,-1.7,4.4,,,,,,,,,,,,,,,AUROPHARMA,,
,PHARMA,FORTIS,946,NSE:FORTIS,961,0.7,1.6,,0.4,-0.5,,-0.7,-1.7,-0.9,-0.8,4.3,,,,,,,,,,,,,,,FORTIS,,
3,AUTO,SONACOMS,712,NSE:SONACOMS,824,0.7,15.7,,1.3,6.5,,1.5,0.3,3.8,-3.1,3.6,,,,,,,,,,,,,,,SONACOMS,,
,FMCG,PGEL,585,NSE:PGEL,625,-1.1,6.7,,4.5,0.4,,0.7,-0.3,-1.1,1.0,3.5,,,,,,,,,,,,,,,PGEL,,
1,IT,TCS,2398,NSE:TCS,2461,0.4,2.6,,1.8,-0.5,,3.6,-1.2,-1.9,-1.6,3.5,,,,,,,,,,,,,,,TCS,,
1,AUTO,HEROMOTOCO,5160,NSE:HEROMOTOCO,5898,3.0,14.3,,0.0,3.4,,0.5,2.1,2.4,-1.9,3.3,,,,,,,,,,,,,,,HEROMOTOCO,,
2,CEMENT,GRASIM,3116,NSE:GRASIM,3362,1.5,7.9,,-0.1,-0.4,,2.3,-4.2,2.5,-0.3,3.3,,,,,,,,,,,,,,,GRASIM,,
3,IT,LTM,4309,NSE:LTM,4790,2.8,11.2,,2.3,0.4,,6.8,-2.8,-0.7,0.5,3.3,,,,,,,,,,,,,,,LTM,,
2,FMCG,JUBLFOOD,431,NSE:JUBLFOOD,494,1.5,14.4,,2.0,0.1,,7.3,-1.0,5.0,-2.4,3.0,,,,,,,,,,,,,,,JUBLFOOD,,
1,AUTO,M&M,3280,NSE:M&M,3517,0.5,7.2,,-1.3,2.3,,-0.1,-0.5,0.8,-1.2,2.8,,,,,,,,,,,,,,,M&M,,
,IT,MPHASIS,2416,NSE:MPHASIS,2512,1.5,4.0,,-2.7,-0.6,,3.0,-1.9,2.1,-2.2,2.7,,,,,,,,,,,,,,,MPHASIS,,
2,DEFENCE,BHARATFORG,2168,NSE:BHARATFORG,2284,0.9,5.3,,0.0,-0.2,,0.0,-1.4,0.2,0.6,2.6,,,,,,,,,,,,,,,BHARATFORG,,
2,METAL,HINDALCO,940,NSE:HINDALCO,1050,-0.7,11.8,,3.0,0.7,,1.6,2.3,1.5,-1.4,2.6,,,,,,,,,,,,,,,HINDALCO,,
3,METAL,HINDZINC,528,NSE:HINDZINC,604,0.2,14.4,,2.5,0.0,,1.4,2.9,6.1,-1.2,2.2,,,,,,,,,,,,,,,HINDZINC,,
,POWER,POWERINDIA,31125,NSE:POWERINDIA,35705,9.8,14.7,,1.5,-1.0,,-0.7,0.5,1.1,-1.3,2.2,,,,,,,,,,,,,,,POWERINDIA,,
,SOLAR POWER,WAAREEENER,2690,NSE:WAAREEENER,2714,-0.2,0.9,,1.2,-3.8,,0.1,0.0,0.4,-1.0,2.1,,,,,,,,,,,,,,,WAAREEENER,,
5,DEFENCE,COCHINSHIP,1388,NSE:COCHINSHIP,1519,-0.1,9.5,,1.3,0.0,,1.3,-0.6,-0.7,4.7,2.1,,,,,,,,,,,,,,,COCHINSHIP,,
3,FMCG,BRITANNIA,5485,NSE:BRITANNIA,5553,0.8,1.2,,1.0,0.2,,1.2,-1.7,#N/A,-0.4,1.9,,,,,,,,,,,,,#N/A,,BRITANNIA,,
,GOODS,DELHIVERY,472,NSE:DELHIVERY,476,0.9,0.8,,-0.7,-0.2,,-1.6,0.6,-2.5,-1.4,1.9,,,,,,,,,,,,,,,DELHIVERY,,
2,IT,TATAELXSI,3577,NSE:TATAELXSI,3845,1.7,7.5,,2.6,-0.5,,2.4,-0.6,0.3,-0.7,1.8,,,,,,,,,,,,,,,TATAELXSI,,
3,BFSI,IIFL,581,NSE:IIFL,621,1.5,6.8,,1.6,2.2,,1.6,-2.1,0.1,0.0,1.6,,,,,,,,,,,,,,,IIFL,,
1,AUTO,TVSMOTOR,3980,NSE:TVSMOTOR,4445,0.1,11.7,,1.5,3.2,,0.8,-0.7,1.6,-1.2,1.5,,,,,,,,,,,,,,,TVSMOTOR,,
,PHARMA,MANKIND,2620,NSE:MANKIND,2444,-0.4,-6.7,,-1.3,-0.9,,0.2,-1.1,#N/A,-0.4,1.4,,,,,,,,,,,,,#N/A,,MANKIND,,
2,BFSI,RECLTD,369,NSE:RECLTD,354,-3.6,-4.1,,1.6,0.2,,-1.3,0.0,-0.6,-0.7,1.4,,,,,,,,,,,,,,,RECLTD,,
2,BFSI,FEDERALBNK,357,NSE:FEDERALBNK,355,-0.3,-0.4,,0.6,-1.4,,0.7,-3.5,-1.8,-1.2,1.3,,,,,,,,,,,,,,,FEDERALBNK,,
,BFSI,LICI,428,NSE:LICI,394,0.4,-7.8,,-0.9,-0.1,,-0.1,-8.7,0.5,-1.4,1.3,,,,,,,,,,,,,,,LICI,,
,PHARMA,LAURUSLABS,1754,NSE:LAURUSLABS,1861,0.9,6.1,,1.1,0.0,,-0.3,1.6,-0.4,-0.1,1.3,,,,,,,,,,,,,,,LAURASLABS,,
,BFSI,BANKINDIA,136,NSE:BANKINDIA,143,-1.6,4.7,,1.0,-0.2,,1.0,-0.7,0.3,1.2,1.2,,,,,,,,,,,,,,,BANKINDIA,,
,IT,KPITTECH,605,NSE:KPITTECH,637,1.2,5.3,,6.0,-7.5,,3.5,1.0,#N/A,-0.5,1.1,,,,,,,,,,,,,#N/A,,KPITTECH,,
,REALITY,APLAPOLLO,1848,NSE:APLAPOLLO,1977,0.4,7.0,,1.3,1.2,,7.0,-0.6,2.1,0.4,1.1,,,,,,,,,,,,,,,APLAPOLLO,,
0,BFSI,SBIN,1014,NSE:SBIN,1089,-0.8,7.3,,0.1,1.0,,0.7,-1.1,1.1,2.9,1.1,,,,,,,,,,,,,,,SBIN,,
1,IT,HCLTECH,1321,NSE:HCLTECH,1362,0.4,3.1,,1.7,0.5,,1.4,-1.5,-2.2,-1.0,1.1,,,,,,,,,,,,,,,HCLTECH,,
3,JEWEL,KALYANKJIL,608,NSE:KALYANKJIL,616,1.5,1.3,,3.7,0.5,,-0.8,-2.7,-3.7,5.0,1.1,,,,,,,,,,,,,,,KALYANKJIL,,
,GOODS,BOSCHLTD,41350,NSE:BOSCHLTD,43100,0.4,4.2,,-0.5,1.3,,0.3,-0.2,3.9,-1.6,1.0,,,,,,,,,,,,,,,BOSCHLTD,,
,BFSI,INDIANB,835,NSE:INDIANB,890,0.0,6.6,,-1.0,-0.1,,0.4,-0.3,0.2,2.8,0.9,,,,,,,,,,,,,,,INDIANB,,
,COMN,IDEA,13,NSE:IDEA,13,1.2,-0.5,,0.9,-1.3,,-1.2,-0.5,-0.5,-1.2,0.9,,,,,,,,,,,,,,,IDEA,,
1,IT,INFY,1105,NSE:INFY,1190,1.2,7.6,,4.3,-0.1,,3.6,-1.9,0.1,-0.7,0.9,,,,,,,,,,,,,,,INFY,,
2,POWER,TATAPOWER,371,NSE:TATAPOWER,379,-0.5,2.2,,1.5,-0.3,,0.2,-0.3,0.3,-1.1,0.9,,,,,,,,,,,,,,,TATAPOWER,,
1,METAL,VEDL,260,NSE:VEDL,284,1.9,9.5,,2.3,0.8,,0.2,0.6,2.6,-0.8,0.8,,,,,,,,,,,,,,,VEDL,,
2,DEFENCE,SOLARINDS,18243,NSE:SOLARINDS,18580,-0.2,1.8,,-1.2,-0.2,,1.1,0.3,-1.6,0.7,0.8,,,,,,,,,,,,,,,SOLARINDS,,
2,FMCG,HINDUNILVR,2020,NSE:HINDUNILVR,2083,-0.6,3.1,,4.8,-0.5,,0.9,-2.7,-0.6,0.1,0.8,,,,,,,,,,,,,,,HINDUNILVR,,
,BFSI,BANDHANBNK,169,NSE:BANDHANBNK,176,-0.1,4.1,,2.7,-0.4,,-0.4,0.3,#N/A,2.9,0.8,,,,,,,,,,,,,#N/A,,BANDHANBNK,,
,BFSI,MANAPPURAM,362,NSE:MANAPPURAM,370,1.0,2.3,,2.6,-0.6,,-2.1,-2.3,#N/A,-0.2,0.8,,,,,,,,,,,,,#N/A,,MANAPPURAM,,
2,BFSI,POLICYBZR,1592,NSE:POLICYBZR,1628,1.4,2.3,,1.7,-1.1,,1.7,-3.2,1.9,-1.9,0.7,,,,,,,,,,,,,,,POLICYBZR,,
2,DEFENCE,BEL,389,NSE:BEL,401,-0.1,3.0,,-0.4,-0.7,,0.2,-0.6,-0.5,2.4,0.7,,,,,,,,,,,,,,,BEL,,
,PHARMA,GLENMARK,2183,NSE:GLENMARK,2271,-0.3,4.1,,3.7,-2.4,,-0.9,-0.6,1.6,-0.2,0.7,,,,,,,,,,,,,,,GLENMARK,,
,PHARMA,ZYDUSLIFE,1101,NSE:ZYDUSLIFE,1122,0.6,1.9,,2.1,-0.4,,-1.0,-0.1,-1.7,-1.6,0.7,,,,,,,,,,,,,,,ZYDUSLIFE,,
,BFSI,KFINTECH,969,NSE:KFINTECH,925,-1.0,-4.5,,-2.7,-0.9,,0.7,0.2,0.0,-2.1,0.7,,,,,,,,,,,,,,,KFINTECH,,
,PHARMA,ALKEM,5658,NSE:ALKEM,5604,-0.2,-0.9,,0.5,2.5,,-1.3,-0.7,0.9,-1.7,0.6,,,,,,,,,,,,,,,ALKEM,,
3,BFSI,BSE,3463,NSE:BSE,3505,1.5,1.2,,2.4,-0.2,,-2.0,0.6,-3.0,-2.8,0.6,,,,,,,,,,,,,,,BSE,,
2,GOODS,VOLTAS,1313,NSE:VOLTAS,1276,-0.6,-2.8,,0.4,1.9,,-0.2,-0.7,-1.6,-1.9,0.6,,,,,,,,,,,,,,,VOLTAS,,
,POWER,JSWENERGY,545,NSE:JSWENERGY,571,1.1,4.6,,0.3,-0.5,,1.9,-0.4,-0.4,-0.5,0.6,,,,,,,,,,,,,,,JSWENERGY,,
,SOLAR POWER,PREMIERENE,1014,NSE:PREMIERENE,1043,-0.4,2.8,,1.5,-5.0,,0.6,1.8,-0.1,-0.3,0.6,,,,,,,,,,,,,,,PREMIERENE,,
,IT,OFSS,11320,NSE:OFSS,11754,-0.6,3.8,,0.6,-2.4,,2.3,2.2,1.2,-0.5,0.6,,,,,,,,,,,,,,,OFSS,,
,AUTO,TIINDIA,2820,NSE:TIINDIA,2797,1.0,-0.8,,-1.3,-3.4,,-0.7,-1.0,1.0,-0.8,0.6,,,,,,,,,,,,,,,TIINDIA,,
1,GENERAL,INDIGO,5278,NSE:INDIGO,5338,0.2,1.1,,0.2,-1.1,,4.2,-1.5,1.1,-1.3,0.6,,,,,,,,,,,,,,,INDIGO,,
,AUTO,UNOMINDA,1165,NSE:UNOMINDA,1291,0.4,10.8,,0.4,0.3,,2.1,1.1,2.2,1.1,0.6,,,,,,,,,,,,,,,UNOMINDA,,
2,BFSI,UNIONBANK,168,NSE:UNIONBANK,184,-0.1,9.5,,1.7,-0.3,,1.4,-0.3,0.5,3.2,0.5,,,,,,,,,,,,,,,UNIONBANK,,
,GOODS,KAYNES,3250,NSE:KAYNES,3786,-1.8,16.5,,13.2,-0.2,,0.0,2.0,0.6,-1.5,0.5,,,,,,,,,,,,,,,KAYNES,,
1,BFSI,HDFCAMC,2536,NSE:HDFCAMC,2547,0.2,0.5,,0.5,0.3,,-1.5,-2.5,0.0,-0.9,0.5,,,,,,,,,,,,,,,HDFCAMC,,
